"trade_name","legal_name","website","default_address_id","country","parent_id","year_founded","statement","total_employees","legal_form","for_profit","ownership","business_focus"
"AeroFarms","Just Greens, LLC","https://www.aerofarms.com/","","US","","2004","We are on a bold mission to grow the best plants possible for the betterment of humanity.
Since 2004, we have been transforming agriculture with people and planet in mind. As a Certified B Corporation, we use the latest breakthroughs in indoor vertical farming, artificial intelligence and plant biology to fix our broken food system and improve the way fresh produce is grown and distributed locally and globally. We have built a proprietary agriculture platform to grow a wide array of products, delivering superior flavor, better quality and improved nutrition with the most sophisticated levels of traceability and food safety in our industry.","1","","True ","private","specialty crop grower"
"Bowery Farming","Bowery Farming Inc.","https://boweryfarming.com/","","US","","2015","","1","","True ","private","specialty crop grower"
"BrightFarms","BrightFarms Inc.","https://www.brightfarms.com/","","US","","2011","","1","","True ","private","specialty crop grower"
"Element Farms","NULL","https://www.element-farms.com/","","US","","2016","Element Farms is on mission is to grow the purest, best-tasting greens for the most people possible. 

We're a team of farmers, engineers, entrepreneurs, and locals who are passionate about growing good food. Not just good as in tasty, though of course it is, but good as in good for you, good for the planet, and good for our local community.

We brought farming back to its most basic elements — the crop, nutrients, water, and light — and spent years perfecting our proprietary methods and high-tech processes for improved crop yields, product quality, and sustainability. We deliver within ~150 miles of our greenhouse in Sussex County, NJ, so the greens you buy are always ultra fresh.

Stay tuned as we discover just how far our passion, ingenuity, and determination will take us.","1","","True ","private","specialty crop grower"
"Farm.One","NULL","https://farm.one/","","US","","2016","Our mission is to surprise and delight with fresh, local, specialty ingredients grown at innovative farms around the world.","1","","True ","private","specialty crop grower"
"Gotham Greens","Gotham Greens Farms LLC","https://www.gothamgreens.com/","","US","","2009","We are a fresh food company farming with the future in mind. We build and operate sustainable greenhouses in cities across America, where we grow our year-round supply of local produce. Local cultivation and regional distribution help us deliver our products quickly after being harvested to ensure they are fresh tasting, nutritionally dense and long-lasting. Our farms are unconventional. But so is our commitment to taste, quality and sustainability.","1","","True ","private","specialty crop grower"
"Oishii","NULL","https://www.oishii.com/","","US","","2017","","1","","True ","private","specialty crop grower"
"Radicle Farm","","https://www.radiclefarm.com/","","US","","2014","We founded Radicle Farm to explore the depths of fresh, flavorful and intriguing salad greens. Their journey has included years spent experimenting with countless seed varieties and growing methods in their New York and New Jersey greenhouses, conferring with New York City's top chefs, and partnering with like-minded, progressive farmers to find the very best leafy greens (and sometimes tomatoes and cucumbers). The result is nutrient dense leafy greens, microgreens and edible flowers that are bursting with flavor, color and freshness.","1","","True ","private","specialty crop grower"
"Smallhold","Smallhold, Inc.","https://www.smallhold.com/","","US","","2017","","1","","True ","private","specialty crop grower"
"Square Roots","Square Roots Urban Growers, Inc.","https://squarerootsgrow.com/","","US","","2016","","1","","True ","private","specialty crop grower"
"Upward Farms","Upward Enterprises Inc.","https://eatupwardfarms.com/","","US","","2013","","1","","True ","private","specialty crop grower"
